sample,timestamp_py,sensor_id_py,q0_py,q1_py,q2_py,q3_py,timestamp_c,sensor_id_c,q0_c,q1_c,q2_c,q3_c,quat_distance
64,5641913875,1,0.999269314892028,-0.037709940176585,-0.001003984081163,0.006147254920724,5641913875,1,0.996733665466309,-0.072135634720325,-0.035985261201859,0.004853500518948,0.0012084381754070561
65,5721914275,1,0.999303981284522,-0.036770969713489,-5.8471900044e-05,0.006280553818778,5721914275,1,0.996666193008423,-0.072750374674797,-0.036600258201361,0.004928925540298,0.001319307022419447
66,5801914675,1,0.999336906418432,-0.035830487075595,0.000886634776616,0.006413855684107,5801914675,1,0.9965980052948,-0.073365062475204,-0.03721522539854,0.00500434730202,0.001435025674766055
67,5881915050,1,0.999368394330965,-0.034881554625386,0.001833470767179,0.006536661549421,5881915050,1,0.996529042720795,-0.073979303240776,-0.037830948829651,0.0050691482611,0.0015560841970515549
68,5961915475,1,0.999397884614962,-0.033938714950369,0.002772506211711,0.006659208959302,5961915475,1,0.996459364891052,-0.074593484401703,-0.038446642458439,0.00513394549489,0.0016814171580491477
69,6071916025,1,0.999425243246058,-0.033006632786294,0.003708908672836,0.006781544892161,6071916025,1,0.996388971805573,-0.075207605957985,-0.039062306284904,0.005198738537729,0.0018109827007188883
70,6151916425,1,0.999450581562549,-0.032084628394893,0.004631911030669,0.006903407509908,6151916425,1,0.996317744255066,-0.075821667909622,-0.039677936583757,0.005263527855277,0.001944389438437888
71,6231916825,1,0.999473880524078,-0.031176851144151,0.005533404074425,0.007024780582064,6231916825,1,0.996245443820953,-0.076438315212727,-0.040296208113432,0.005328408908099,0.0020811386334707027
72,6311917225,1,0.99949491793281,-0.030294726082241,0.006409073804242,0.007145793941789,6311917225,1,0.996171474456787,-0.07706281542778,-0.040922448039055,0.005393574945629,0.0022208106208579936
73,6481920500,1,0.999513817969765,-0.029438915382353,0.007260915515887,0.007263405157743,6481920500,1,0.99609637260437,-0.077689789235592,-0.041551534086466,0.005456180311739,0.002362880151332458
74,6561918475,1,0.999530695319378,-0.028613904500634,0.00807965786923,0.007372429199748,6561918475,1,0.996019601821899,-0.078324280679226,-0.042189203202724,0.005511110648513,0.0025069154063763754
75,6641918875,1,0.99954579283996,-0.027802550612274,0.008890723760794,0.007495413690881,6641918875,1,0.995944499969482,-0.078938283026218,-0.04280424490571,0.005581182427704,0.002651906990390307
76,6741919375,1,0.999559310593405,-0.026999569650345,0.009692968001766,0.00763244495884,6741919375,1,0.995871126651764,-0.079531811177731,-0.043396659195423,0.005666395183653,0.002797812508384623
77,6821919775,1,0.999571410909794,-0.026215126149043,0.01046011315573,0.007768377279918,6821919775,1,0.995797395706177,-0.080122642219067,-0.04398637637496,0.005751507822424,0.0029443896120104895
78,6901920175,1,0.999581861459177,-0.02546039372851,0.011199036623868,0.007902668643757,6901920175,1,0.995723962783813,-0.080705501139164,-0.044568061828613,0.005836328025907,0.0030905907361764573
79,6981920575,1,0.999590758133071,-0.024742185955139,0.01189831306245,0.008035585565523,6981920575,1,0.995649874210358,-0.081288315355778,-0.045149713754654,0.005921144038439,0.003235962357824973
80,7061920975,1,0.999598068453163,-0.024069146559633,0.012556683111834,0.008167462141115,7061920975,1,0.995574057102203,-0.08187897503376,-0.045739337801933,0.006006244104356,0.003380617067510139
81,7141921375,1,0.999604085819515,-0.023439555310175,0.013168290566198,0.008297890295533,7141921375,1,0.995497167110443,-0.082472212612629,-0.046331599354744,0.006091436836869,0.0035234142336478813
82,7221921775,1,0.999608884161933,-0.022857509281665,0.013733388067071,0.008426566689478,7221921775,1,0.995419561862946,-0.083065390586853,-0.046923823654652,0.006176624912769,0.003663469894992888
83,7301922175,1,0.999612687470865,-0.022319273284477,0.014253449242748,0.00855361163554,7301922175,1,0.995341300964355,-0.083658508956432,-0.047516018152237,0.006261808332056,0.0038007161446453885
84,7401922675,1,0.999615607915053,-0.021827734180301,0.01472625692043,0.00867892794565,7401922675,1,0.995262265205383,-0.084251567721367,-0.048108175396919,0.006346987560391,0.003934653210472372
85,7481923075,1,0.999617738212866,-0.021389990432399,0.01515100158825,0.008791638662327,7481923075,1,0.995182633399963,-0.084844052791595,-0.048701196908951,0.006421559955925,0.004064389291483117
86,7561923475,1,0.999619245733065,-0.021001087981142,0.015526199044642,0.008902528118054,7561923475,1,0.995102226734161,-0.085436478257179,-0.04929418489337,0.006496127229184,0.004189923059108147
87,7641923875,1,0.999620457697402,-0.020659579104952,0.015840012139248,0.009012011954701,7641923875,1,0.99502044916153,-0.08603410422802,-0.049892470240593,0.006570882629603,0.004310855270311498
88,7721924275,1,0.999621188656052,-0.020375498904226,0.016098054641129,0.009119806524063,7721924275,1,0.994937181472778,-0.086636938154697,-0.050496052950621,0.006645825691521,0.004426720754704294
89,7801924675,1,0.999621621710183,-0.020141667044695,0.016303740718112,0.009225762665537,7801924675,1,0.99485319852829,-0.08723970502615,-0.051099602133036,0.006720764096826,0.004537189721361301
90,7881925075,1,0.999621711109508,-0.019963296205675,0.01645776841689,0.009329702130258,7881925075,1,0.994768500328064,-0.087842404842377,-0.051703110337257,0.006795697379857,0.004641701580976321
91,7991925625,1,0.999621624705589,-0.019835304111751,0.016559271459736,0.009431789887146,7991925625,1,0.994683027267456,-0.088445045053959,-0.052306581288576,0.006870625540614,0.004740358432204994
92,8071926975,1,0.999621378934247,-0.019759525186179,0.016607272824717,0.009531968911891,8071926975,1,0.994596779346466,-0.089047618210316,-0.052910011261702,0.006945548579097,0.004832743530378769
93,8151926425,1,0.999620981239009,-0.019734956119817,0.016603706214144,0.009630281079181,8151926425,1,0.994509875774384,-0.089650124311447,-0.053513407707214,0.007020466495305,0.004918732691534311
94,8231926825,1,0.999620368719691,-0.019761168976791,0.016554544969891,0.009724283121158,8231926825,1,0.99442183971405,-0.090255044400692,-0.054119665175676,0.007092826999724,0.00499908251174952
95,8311927225,1,0.999619656897894,-0.019845531656675,0.016446422067541,0.009808752100894,8311927225,1,0.994331955909729,-0.09086736291647,-0.054734606295824,0.007157525513321,0.005072902307013294
96,8391927600,1,0.999618744339081,-0.019978401462687,0.016290752416282,0.009891452202075,8391927600,1,0.994241297245026,-0.091479606926441,-0.055349506437778,0.007222218438983,0.005140393442302105
97,8471928025,1,0.999617823322757,-0.020152684509219,0.01608177549478,0.009972617483919,8471928025,1,0.99414986371994,-0.092091783881187,-0.05596436560154,0.007286905776709,0.005201517344568751
98,8551928425,1,0.99961660230308,-0.020373423598021,0.015828043938635,0.010052115997087,8551928425,1,0.994057714939117,-0.092703886330128,-0.056579180061817,0.007351587992162,0.005256347686780072
99,8651928925,1,0.999614944194095,-0.020641514016504,0.015533060972799,0.010129919040023,8651928925,1,0.993964791297913,-0.093315921723843,-0.057193949818611,0.007416264154017,0.005305029663963734
100,8731929325,1,0.999612926210285,-0.020951369243472,0.015194454796746,0.010206195352061,8731929325,1,0.993871092796326,-0.093927882611752,-0.057808678597212,0.007480934727937,0.005347710375750214
101,8811929725,1,0.99961043748396,-0.021302336266804,0.014815031357993,0.010280981887188,8811929725,1,0.993776619434357,-0.094539776444435,-0.058423358947039,0.007545599713922,0.005384568298336556
102,8891930125,1,0.999607230492365,-0.021707215858618,0.014386234465526,0.010354602114687,8891930125,1,0.993679761886597,-0.095162093639374,-0.059048663824797,0.007610643282533,0.005415503855670245
103,8971930525,1,0.999603377297076,-0.022149073423424,0.013920734906243,0.010426877885212,8971930525,1,0.993582129478455,-0.095784343779087,-0.059673923999071,0.007675681263208,0.005441084773727178
104,9051930925,1,0.999598800503403,-0.022629704789581,0.013417724636226,0.010492814631058,9051930925,1,0.993482887744904,-0.096411444246769,-0.06030497699976,0.007735612802207,0.005461921792280999
105,9231933100,1,0.999593462007691,-0.023144932010036,0.012876907574126,0.010555002845005,9231933100,1,0.993382513523102,-0.097040943801403,-0.060938905924559,0.007792988326401,0.00547777780837011
106,9341932375,1,0.999587205518231,-0.023683119040936,0.012315182092826,0.01062378118976,9341932375,1,0.993282496929169,-0.097662962973118,-0.061564009636641,0.007858006283641,0.005489251276112772
107,9421932775,1,0.999579991824232,-0.024249349778263,0.011726031880081,0.010691546022344,9421932775,1,0.993181645870209,-0.098284915089607,-0.062189064919949,0.007923018187284,0.0054966749014030425
