sample_idx,timestamp,sensor_id,sensor_data,q0,q1,q2,q3
1618,11651944225,1,[-59;-59;4],0.9902945756912231,-0.1143807992339134,-0.0783158168196678,0.0100136734545231
1630,11731944600,1,[-59;-59;4],0.9901726841926575,-0.1150002181529999,-0.0789396315813065,0.0100785363465548
1642,11811944475,1,[-59;-59;4],0.9900499582290649,-0.1156195476651192,-0.0795633867383003,0.0101433899253607
1654,11981946600,1,[-59;-59;3],0.9899265766143799,-0.1162379458546638,-0.0801883041858673,0.0101976888254285
1666,12061960950,1,[-57;-57;4],0.9898044466972351,-0.1168462410569191,-0.0808018893003464,0.0102568687871099
1678,12141946675,1,[-57;-57;4],0.9896836280822754,-0.1174444407224655,-0.0814041346311569,0.0103209288790822
1690,12221947075,1,[-57;-57;4],0.9895620346069336,-0.1180425509810448,-0.0820063203573227,0.0103849824517965
1702,12301947450,1,[-55;-55;6],0.9894438385963440,-0.1186214685440063,-0.0825846269726753,0.0104693435132504
1714,12381947875,1,[-55;-55;6],0.9893249273300171,-0.1192002967000008,-0.0831628814339638,0.0105536971241236
1726,12491948425,1,[-55;-55;6],0.9892053604125977,-0.1197790428996086,-0.0837410762906075,0.0106380442157388
1738,12571948825,1,[-55;-55;6],0.9890850782394409,-0.1203577145934105,-0.0843192115426064,0.0107223829254508
1750,12651949225,1,[-54;-54;6],0.9889646768569946,-0.1209336891770363,-0.0848946273326874,0.0108066191896796
1762,12731949625,1,[-54;-54;6],0.9888452887535095,-0.1215017735958099,-0.0854619964957237,0.0108905592933297
1774,12811950025,1,[-54;-54;6],0.9887251853942871,-0.1220697760581970,-0.0860293135046959,0.0109744928777218
1786,12891950425,1,[-56;-56;6],0.9886010885238647,-0.1226533129811287,-0.0866125449538231,0.0110589955002069
1798,12971950825,1,[-56;-56;6],0.9884752035140991,-0.1232419759035110,-0.0872010365128517,0.0111436806619167
1810,13051951225,1,[-56;-56;5],0.9883486032485962,-0.1238303110003471,-0.0877897962927818,0.0112257264554501
1822,13161951775,1,[-56;-56;5],0.9882214069366455,-0.1244178637862206,-0.0883794799447060,0.0112998671829700
1834,13241952175,1,[-57;-57;5],0.9880929589271545,-0.1250079274177551,-0.0889717638492584,0.0113740963861346
1846,13321952575,1,[-57;-57;5],0.9879620671272278,-0.1256057024002075,-0.0895719677209854,0.0114486040547490
1858,13401952975,1,[-57;-57;5],0.9878304004669189,-0.1262033879756927,-0.0901721045374870,0.0115231042727828
1870,13481953350,1,[-57;-57;5],0.9876980185508728,-0.1268009692430496,-0.0907721742987633,0.0115975951775908
